Github Ranking,Total Ranking,login,noncode%,code%,total%
225,334,hdchinh,0.087,0.0,0.087
226,350,art-in,0.087,0.0,0.087
227,343,mehmetkose,0.087,0.0,0.087
228,349,usmanajmal,0.087,0.0,0.087
229,348,crimeminister,0.087,0.0,0.087
230,347,prasadgujar,0.087,0.0,0.087
231,346,kobernyk,0.087,0.0,0.087
232,345,Masuzu,0.087,0.0,0.087
233,344,mihaimaruseac,0.087,0.0,0.087
234,342,jmaclabs,0.087,0.0,0.087
235,335,Hopshine,0.087,0.0,0.087
236,341,Klaudioz,0.087,0.0,0.087
237,340,mishar,0.087,0.0,0.087
238,339,TFSisbetter,0.087,0.0,0.087
239,338,jashgala,0.087,0.0,0.087
240,337,htfy96,0.087,0.0,0.087
241,336,zlatan1981,0.087,0.0,0.087
242,245,Kalebn0,0.087,0.0,0.087
243,194,akhi1312,0.087,0.0,0.087
244,243,israelpgjm,0.087,0.0,0.087
245,242,saadbitcoin,0.087,0.0,0.087
246,150,yosukesan,0.173,0.0,0.173
247,149,geekgao,0.173,0.0,0.173
248,148,horoyoiiv,0.173,0.0,0.173
249,147,1krishnasharma,0.173,0.0,0.173
250,146,divyum,0.173,0.0,0.173
251,145,skilledDeveloper,0.173,0.0,0.173
252,144,mostafazh,0.173,0.0,0.173
253,143,letientai299,0.173,0.0,0.173
254,142,kt1755,0.173,0.0,0.173
255,141,minostro,0.173,0.0,0.173
256,140,Zamy97,0.173,0.0,0.173
257,139,mingrammer,0.173,0.0,0.173
258,138,iphayao,0.173,0.0,0.173
259,137,dharmaturtle,0.173,0.0,0.173
260,136,guillermocol,0.173,0.0,0.173
261,151,duslabo,0.173,0.0,0.173
262,152,chriscoffee,0.173,0.0,0.173
263,153,heltucosta,0.173,0.0,0.173
264,162,mkhomytsya,0.173,0.0,0.173
265,168,valarpirai,0.173,0.0,0.173
266,167,pgoodjohn,0.173,0.0,0.173
267,166,joehorsnell,0.173,0.0,0.173
268,165,duckbill,0.173,0.0,0.173
269,164,Rafatlne,0.173,0.0,0.173
270,163,Oxicode,0.173,0.0,0.173
271,161,AlexandreCarvalhoDeMelo,0.173,0.0,0.173
272,154,atomissariyaporn,0.173,0.0,0.173
273,160,kbakha,0.173,0.0,0.173
274,159,Belonias,0.173,0.0,0.173
275,158,D3ADB0N3S,0.173,0.0,0.173
276,157,cem8kaya,0.173,0.0,0.173
277,156,splinter1998,0.173,0.0,0.173
278,155,panth,0.173,0.0,0.173
279,135,amitkumar50,0.173,0.0,0.173
280,134,ianbrayoni,0.173,0.0,0.173
281,133,sj123050037,0.173,0.0,0.173
282,35,eamanu,0.519,0.0,0.519
283,56,hwclass,0.346,0.0,0.346
284,55,bonomoon,0.346,0.0,0.346
285,54,voitau,0.346,0.0,0.346
286,41,hadisinaee,0.433,0.0,0.433
287,40,SIkebe,0.433,0.0,0.433
288,39,jrrus,0.433,0.0,0.433
289,34,aymns,0.519,0.0,0.519
290,115,a1025b1104,0.26,0.0,0.26
291,29,yssource,0.606,0.0,0.606
292,21,ghost,0.692,0.0,0.692
293,20,tranlyvu,0.692,0.0,0.692
294,17,nutboltu,0.779,0.0,0.779
295,13,devdil,0.865,0.0,0.865
296,7,IuryAlves,1.038,0.0,1.038
297,57,sotayamashita,0.346,0.0,0.346
298,116,mhf-ir,0.26,0.0,0.26
299,132,DmitryOlkhovoi,0.26,0.0,0.26
300,125,sarathsp06,0.26,0.0,0.26
301,131,TaceyWong,0.26,0.0,0.26
302,130,addianto,0.26,0.0,0.26
303,129,joshuaswaney,0.26,0.0,0.26
304,128,reece,0.26,0.0,0.26
305,127,EladLeev,0.26,0.0,0.26
306,126,tolgacesur,0.26,0.0,0.26
307,124,mkamilov,0.26,0.0,0.26
308,117,ssquan,0.26,0.0,0.26
309,123,Allaman,0.26,0.0,0.26
310,122,appleboy,0.26,0.0,0.26
311,121,AlexandreCarvalhoMelo,0.26,0.0,0.26
312,120,polyzen,0.26,0.0,0.26
313,119,gamesover,0.26,0.0,0.26
314,118,scokmen,0.26,0.0,0.26
315,169,jamescowie,0.173,0.0,0.173
316,170,reza-agahi,0.173,0.0,0.173
317,171,sudipbhandari126,0.173,0.0,0.173
318,217,Danilo-Araujo-Silva,0.087,0.0,0.087
319,223,RuiZhang2,0.087,0.0,0.087
320,222,zinozzino,0.087,0.0,0.087
321,221,zhanghuijun1988,0.087,0.0,0.087
322,220,Deniswanja,0.087,0.0,0.087
323,219,leohzhuang,0.087,0.0,0.087
324,218,Kazaf123,0.087,0.0,0.087
325,216,acbnelsalvador,0.087,0.0,0.087
326,225,smileusd,0.087,0.0,0.087
327,215,hoooga,0.087,0.0,0.087
328,214,MaxNevermind,0.087,0.0,0.087
329,213,mdabek,0.087,0.0,0.087
330,212,YuanhuiLouis,0.087,0.0,0.087
331,211,NiklasBr,0.087,0.0,0.087
332,210,juzhiyuan,0.087,0.0,0.087
333,224,instreest,0.087,0.0,0.087
334,226,artkpv,0.087,0.0,0.087
335,208,baitian77,0.087,0.0,0.087
336,235,johnvenn,0.087,0.0,0.087
337,241,varunbpatil,0.087,0.0,0.087
338,240,omer-demir,0.087,0.0,0.087
339,239,defphil,0.087,0.0,0.087
340,238,ScottBrenner,0.087,0.0,0.087
341,237,bowin,0.087,0.0,0.087
342,236,jmakhack,0.087,0.0,0.087
343,234,farshad1880,0.087,0.0,0.087
344,227,chapmanc,0.087,0.0,0.087
345,233,jiffies,0.087,0.0,0.087
